OG Week,Popularity,Week
2019-01-06,2,01-06
2019-01-13,2,01-13
2019-01-20,3,01-20
2019-01-27,1,01-27
2019-02-03,2,02-03
2019-02-10,1,02-10
2019-02-17,1,02-17
2019-02-24,1,02-24
2019-03-03,1,03-03
2019-03-10,1,03-10
2019-03-17,1,03-17
2019-03-24,0,03-24
2019-03-31,1,03-31
2019-04-07,0,04-07
2019-04-14,0,04-14
2019-04-21,0,04-21
2019-04-28,0,04-28
2019-05-05,1,05-05
2019-05-12,1,05-12
2019-05-19,0,05-19
2019-05-26,0,05-26
2019-06-02,0,06-02
2019-06-09,0,06-09
2019-06-16,1,06-16
2019-06-23,0,06-23
2019-06-30,0,06-30
2019-07-07,0,07-07
2019-07-14,0,07-14
2019-07-21,0,07-21
2019-07-28,1,07-28
2019-08-04,0,08-04
2019-08-11,0,08-11
2019-08-18,1,08-18
2019-08-25,0,08-25
2019-09-01,0,09-01
2019-09-08,0,09-08
2019-09-15,0,09-15
2019-09-22,1,09-22
2019-09-29,1,09-29
2019-10-06,1,10-06
2019-10-13,3,10-13
2019-10-20,3,10-20
2019-10-27,29,10-27
2019-11-03,100,11-03
2019-11-10,46,11-10
2019-11-17,26,11-17
2019-11-24,18,11-24
2019-12-01,10,12-01
2019-12-08,13,12-08
2019-12-15,7,12-15
2019-12-22,4,12-22
2019-12-29,6,12-29